岡　大海, (日), 右打ち, 41試合, 打率0.374, 154打席, 49安打, 2本塁打, 12打点, 27三振, 長打率0.473
上本　達之, (西), 左打ち, 67試合, 打率0.307, 98打席, 27安打, 1本塁打, 12打点, 23三振, 長打率0.386
上本　達之, (西), 左打ち, 67試合, 打率0.307, 98打席, 27安打, 1本塁打, 12打点, 23三振, 長打率0.386
ヘイグ, (神), 右打ち, 31試合, 打率0.231, 124打席, 24安打, 2本塁打, 11打点, 21三振, 長打率0.346
桂　依央利, (中), 右打ち, 59試合, 打率0.182, 164打席, 26安打, 3本塁打, 11打点, 38三振, 長打率0.280
後藤　光尊, (楽), 左打ち, 50試合, 打率0.250, 138打席, 33安打, 2本塁打, 10打点, 30三振, 長打率0.341
小窪　哲也, (広), 右打ち, 69試合, 打率0.217, 107打席, 20安打, 2本塁打, 10打点, 23三振, 長打率0.402
上田　剛史, (ヤ), 左打ち, 72試合, 打率0.220, 92打席, 18安打, 1本塁打, 10打点, 13三振, 長打率0.305
杉谷　拳士, (日), 両打ち, 62試合, 打率0.240, 138打席, 25安打, 0本塁打, 9打点, 23三振, 長打率0.308
立岡　宗一郎, (巨), 左打ち, 51試合, 打率0.229, 209打席, 43安打, 2本塁打, 9打点, 31三振, 長打率0.303
_城　俊人, (デ), 右打ち, 47試合, 打率0.163, 103打席, 15安打, 0本塁打, 9打点, 31三振, 長打率0.185
飯原　誉士, (ヤ), 右打ち, 63試合, 打率0.224, 77打席, 15安打, 3本塁打, 9打点, 19三振, 長打率0.403
矢野　謙次, (日), 右打ち, 34試合, 打率0.207, 35打席, 6安打, 1本塁打, 8打点, 5三振, 長打率0.379
福田　将儀, (楽), 右打ち, 36試合, 打率0.200, 74打席, 12安打, 2本塁打, 8打点, 11三振, 長打率0.333
上本　博紀, (神), 右打ち, 45試合, 打率0.257, 113打席, 26安打, 2本塁打, 8打点, 14三振, 長打率0.386
大嶺　翔太, (ロ), 右打ち, 38試合, 打率0.236, 80打席, 17安打, 0本塁打, 7打点, 20三振, 長打率0.319
ゴームズ, (楽), 右打ち, 18試合, 打率0.169, 75打席, 11安打, 1本塁打, 7打点, 22三振, 長打率0.246
大城　滉二, (オ), 右打ち, 64試合, 打率0.224, 177打席, 36安打, 0本塁打, 7打点, 38三振, 長打率0.261
脇谷　亮太, (巨), 左打ち, 54試合, 打率0.157, 115打席, 17安打, 1本塁打, 7打点, 18三振, 長打率0.231
脇谷　亮太, (巨), 左打ち, 54試合, 打率0.157, 115打席, 17安打, 1本塁打, 7打点, 18三振, 長打率0.231
関根　大気, (デ), 左打ち, 70試合, 打率0.204, 106打席, 20安打, 0本塁打, 7打点, 18三振, 長打率0.235
筒香　嘉智, (デ), 左打ち, 133試合, 打率0.322, 561打席, 151安打, 44本塁打, 110打点, 105三振, 長打率0.680
細川　亨, (ソ), 右打ち, 49試合, 打率0.226, 115打席, 21安打, 1本塁打, 6打点, 28三振, 長打率0.280
本多　雄一, (ソ), 左打ち, 110試合, 打率0.280, 388打席, 93安打, 1本塁打, 27打点, 51三振, 長打率0.322
竹原　直隆, (西), 右打ち, 22試合, 打率0.200, 31打席, 6安打, 1本塁打, 6打点, 4三振, 長打率0.333
オコエ　瑠偉, (楽), 右打ち, 51試合, 打率0.185, 130打席, 22安打, 1本塁打, 6打点, 27三振, 長打率0.294
枡田　慎太郎, (楽), 左打ち, 45試合, 打率0.278, 66打席, 15安打, 1本塁打, 6打点, 23三振, 長打率0.352
松井　稼頭央, (楽), 両打ち, 56試合, 打率0.213, 179打席, 34安打, 2本塁打, 13打点, 42三振, 長打率0.300
三好　匠, (楽), 右打ち, 38試合, 打率0.222, 70打席, 14安打, 3本塁打, 6打点, 16三振, 長打率0.365
三好　匠, (楽), 右打ち, 38試合, 打率0.222, 70打席, 14安打, 3本塁打, 6打点, 16三振, 長打率0.365
園部　聡, (オ), 右打ち, 16試合, 打率0.204, 57打席, 11安打, 1本塁打, 6打点, 24三振, 長打率0.315
谷内　亮太, (ヤ), 右打ち, 23試合, 打率0.300, 80打席, 21安打, 1本塁打, 6打点, 14三振, 長打率0.414
岡田　雅利, (西), 右打ち, 47試合, 打率0.227, 79打席, 15安打, 0本塁打, 5打点, 18三振, 長打率0.227
外崎　修汰, (西), 右打ち, 37試合, 打率0.176, 57打席, 9安打, 2本塁打, 5打点, 11三振, 長打率0.294
川端　崇義, (オ), 右打ち, 28試合, 打率0.194, 71打席, 12安打, 0本塁打, 5打点, 11三振, 長打率0.226
川端　崇義, (オ), 右打ち, 28試合, 打率0.194, 71打席, 12安打, 0本塁打, 5打点, 11三振, 長打率0.226
ディクソン, (オ), 右打ち, 27試合, 打率0.600, 6打席, 3安打, 0本塁打, 5打点, 1三振, 長打率0.800
ディクソン, (オ), 右打ち, 27試合, 打率0.600, 6打席, 3安打, 0本塁打, 5打点, 1三振, 長打率0.800
岩本　貴裕, (広), 左打ち, 27試合, 打率0.333, 22打席, 7安打, 0本塁打, 5打点, 8三振, 長打率0.524
板山　祐太郎, (神), 左打ち, 40試合, 打率0.236, 115打席, 25安打, 0本塁打, 5打点, 31三振, 長打率0.302
比屋根　渉, (ヤ), 右打ち, 76試合, 打率0.230, 142打席, 29安打, 0本塁打, 5打点, 15三振, 長打率0.294
亀澤　恭平, (中), 左打ち, 59試合, 打率0.226, 137打席, 28安打, 0本塁打, 5打点, 20三振, 長打率0.258
江村　直也, (ロ), 右打ち, 22試合, 打率0.130, 24打席, 3安打, 0本塁打, 4打点, 10三振, 長打率0.174
クラーク, (オ), 左打ち, 11試合, 打率0.172, 34打席, 5安打, 2本塁打, 4打点, 11三振, 長打率0.414
中井　大介, (巨), 右打ち, 43試合, 打率0.196, 61打席, 10安打, 0本塁打, 4打点, 13三振, 長打率0.275
山口　俊, (デ), 右打ち, 19試合, 打率0.116, 50打席, 5安打, 1本塁打, 4打点, 23三振, 長打率0.186
伊藤　隼太, (神), 左打ち, 29試合, 打率0.245, 54打席, 13安打, 1本塁打, 4打点, 11三振, 長打率0.340
伊藤　隼太, (神), 左打ち, 29試合, 打率0.245, 54打席, 13安打, 1本塁打, 4打点, 11三振, 長打率0.340
横田　慎太郎, (神), 左打ち, 38試合, 打率0.190, 109打席, 20安打, 0本塁打, 4打点, 13三振, 長打率0.210
阿部　寿樹, (中), 右打ち, 25試合, 打率0.184, 53打席, 9安打, 1本塁打, 4打点, 10三振, 長打率0.265
近藤　弘基, (中), 右打ち, 21試合, 打率0.186, 49打席, 8安打, 2本塁打, 4打点, 13三振, 長打率0.372
川島　慶三, (ソ), 右打ち, 20試合, 打率0.125, 50打席, 5安打, 0本塁打, 3打点, 10三振, 長打率0.125
平沢　大河, (ロ), 左打ち, 23試合, 打率0.149, 53打席, 7安打, 0本塁打, 3打点, 18三振, 長打率0.234
永江　恭平, (西), 左打ち, 74試合, 打率0.162, 84打席, 12安打, 0本塁打, 3打点, 24三振, 長打率0.176
永江　恭平, (西), 左打ち, 74試合, 打率0.162, 84打席, 12安打, 0本塁打, 3打点, 24三振, 長打率0.176
縞田　拓弥, (オ), 右打ち, 31試合, 打率0.167, 46打席, 7安打, 1本塁打, 3打点, 8三振, 長打率0.262
西川　龍馬, (広), 左打ち, 62試合, 打率0.294, 58打席, 15安打, 0本塁打, 3打点, 9三振, 長打率0.392
菅野　智之, (巨), 右打ち, 26試合, 打率0.222, 61打席, 12安打, 0本塁打, 3打点, 18三振, 長打率0.241
石田　健大, (デ), 左打ち, 25試合, 打率0.182, 50打席, 8安打, 0本塁打, 3打点, 24三振, 長打率0.182
小川　泰弘, (ヤ), 右打ち, 25試合, 打率0.080, 54打席, 4安打, 1本塁打, 3打点, 26三振, 長打率0.160
遠藤　一星, (中), 左打ち, 27試合, 打率0.180, 71打席, 11安打, 0本塁打, 3打点, 11三振, 長打率0.230
遠藤　一星, (中), 左打ち, 27試合, 打率0.180, 71打席, 11安打, 0本塁打, 3打点, 11三振, 長打率0.230
バルデス, (中), 左打ち, 20試合, 打率0.121, 39打席, 4安打, 1本塁打, 3打点, 14三振, 長打率0.242
松本　剛, (日), 右打ち, 12試合, 打率0.238, 22打席, 5安打, 0本塁打, 2打点, 5三振, 長打率0.286
松本　剛, (日), 右打ち, 12試合, 打率0.238, 22打席, 5安打, 0本塁打, 2打点, 5三振, 長打率0.286
金澤　岳, (ロ), 左打ち, 17試合, 打率0.188, 41打席, 6安打, 0本塁打, 2打点, 13三振, 長打率0.219
木村　文紀, (西), 右打ち, 28試合, 打率0.167, 35打席, 5安打, 0本塁打, 2打点, 12三振, 長打率0.200
阿部　俊人, (楽), 左打ち, 55試合, 打率0.185, 28打席, 5安打, 0本塁打, 2打点, 8三振, 長打率0.259
磯村　嘉孝, (広), 右打ち, 24試合, 打率0.161, 32打席, 5安打, 0本塁打, 2打点, 5三振, 長打率0.194
堂林　翔太, (広), 右打ち, 47試合, 打率0.250, 60打席, 14安打, 2本塁打, 2打点, 11三振, 長打率0.357
戸田　隆矢, (広), 左打ち, 17試合, 打率0.267, 15打席, 4安打, 0本塁打, 2打点, 7三振, 長打率0.267
山本　泰寛, (巨), 右打ち, 27試合, 打率0.256, 86打席, 20安打, 0本塁打, 2打点, 20三振, 長打率0.346
柴田　竜拓, (デ), 左打ち, 19試合, 打率0.205, 46打席, 8安打, 0本塁打, 2打点, 8三振, 長打率0.256
荒木　郁也, (神), 左打ち, 46試合, 打率0.246, 73打席, 14安打, 0本塁打, 2打点, 10三振, 長打率0.281
荒木　郁也, (神), 左打ち, 46試合, 打率0.246, 73打席, 14安打, 0本塁打, 2打点, 10三振, 長打率0.281
俊介, (神), 右打ち, 41試合, 打率0.186, 56打席, 8安打, 0本塁打, 2打点, 12三振, 長打率0.233
俊介, (神), 右打ち, 41試合, 打率0.186, 56打席, 8安打, 0本塁打, 2打点, 12三振, 長打率0.233
三輪　正義, (ヤ), 左打ち, 51試合, 打率0.242, 41打席, 8安打, 0本塁打, 2打点, 10三振, 長打率0.303
木下　拓哉, (中), 右打ち, 9試合, 打率0.278, 19打席, 5安打, 1本塁打, 2打点, 6三振, 長打率0.556
木下　拓哉, (中), 右打ち, 9試合, 打率0.278, 19打席, 5安打, 1本塁打, 2打点, 6三振, 長打率0.556
大嶋　匠, (日), 左打ち, 12試合, 打率0.200, 17打席, 3安打, 0本塁打, 1打点, 2三振, 長打率0.267
渡邉　諒, (日), 右打ち, 1試合, 打率0.333, 3打席, 1安打, 1本塁打, 1打点, 0三振, 長打率1.333
斐紹, (ソ), 左打ち, 13試合, 打率0.231, 31打席, 6安打, 0本塁打, 1打点, 8三振, 長打率0.269
斐紹, (ソ), 左打ち, 13試合, 打率0.231, 31打席, 6安打, 0本塁打, 1打点, 8三振, 長打率0.269
斐紹, (ソ), 左打ち, 13試合, 打率0.231, 31打席, 6安打, 0本塁打, 1打点, 8三振, 長打率0.269
拓也, (ソ), 右打ち, 13試合, 打率0.167, 7打席, 1安打, 0本塁打, 1打点, 4三振, 長打率0.333
水口　大地, (西), 左打ち, 20試合, 打率0.500, 6打席, 3安打, 0本塁打, 1打点, 1三振, 長打率0.500
伊志嶺　忠, (楽), 左打ち, 27試合, 打率0.167, 22打席, 3安打, 0本塁打, 1打点, 4三振, 長打率0.167
哲_, (楽), 右打ち, 11試合, 打率0.100, 21打席, 2安打, 1本塁打, 1打点, 6三振, 長打率0.250
中川　大志, (楽), 右打ち, 22試合, 打率0.203, 80打席, 15安打, 2本塁打, 18打点, 21三振, 長打率0.311
美馬　学, (楽), 左打ち, 26試合, 打率0.667, 3打席, 2安打, 0本塁打, 1打点, 1三振, 長打率0.667
